#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      4.77e+00    8.02e+00      4.81e-01    6.46e-01      3.92e-01    7.14e-01    1.0e-03
    100      3.01e+00    1.50e+00      2.11e-01    3.78e-02      2.77e-01    1.49e-01    1.0e-03
    200      4.67e+00    5.46e+00      6.40e-01    4.67e-01      2.96e-01    5.13e-01    1.0e-03
    300      6.95e+00    9.50e+00      5.06e-01    4.87e-01      6.33e-01    9.09e-01    1.0e-03
    400      7.51e+00    7.59e+00      8.96e-01    1.04e+00      5.55e-01    4.80e-01    1.0e-03
    500      8.08e+00    1.10e+01      9.15e-01    7.81e-01      6.20e-01    1.00e+00    1.0e-03
    600      9.79e+00    1.37e+01      1.50e+00    5.72e-01      4.92e-01    1.33e+00    1.0e-03
    700      7.64e+00    8.96e+00      9.97e-01    7.64e-02      5.16e-01    8.95e-01    1.0e-03
    800      7.17e+00    1.36e+00      9.27e-01    5.29e-02      4.89e-01    1.33e-01    1.0e-03
    900      1.25e+01    2.11e+00      1.73e+00    6.08e-03      7.77e-01    2.11e-01    1.0e-03
   1000      5.86e+00    2.01e+01      7.68e-01    1.98e-01      3.92e-01    2.01e+00    1.0e-03
   1100      9.67e+00    6.93e+00      1.44e+00    5.12e-01      5.19e-01    6.30e-01    1.0e-03
   1200      5.60e+00    7.70e+00      5.44e-01    2.96e-01      4.68e-01    7.61e-01    1.0e-03
   1300      5.16e+00    3.73e+00      4.97e-01    3.45e-01      4.33e-01    3.18e-01    1.0e-03
   1400      5.17e+00    2.15e+00      4.57e-01    3.59e-01      4.48e-01    7.13e-02    1.0e-03
   1500      4.43e+00    1.68e+00      1.81e-01    2.61e-01      4.31e-01    8.12e-02    1.0e-03
   1600      7.22e+00    3.65e+00      7.69e-01    5.31e-01      5.76e-01    2.07e-01    1.0e-03
   1700      4.11e+00    3.13e+00      2.61e-01    1.38e-01      3.83e-01    3.03e-01    1.0e-03
   1800      5.88e+00    5.18e+00      7.39e-01    2.17e-01      4.14e-01    5.03e-01    1.0e-03
   1900      4.70e+00    4.61e+00      3.81e-01    4.32e-01      4.18e-01    4.18e-01    1.0e-03
   2000      3.60e+00    8.44e+00      2.95e-01    2.14e-01      3.19e-01    8.40e-01    1.0e-03
   2100      5.19e+00    5.07e+00      5.38e-01    2.70e-01      4.21e-01    4.96e-01    1.0e-03
   2200      3.75e+00    3.45e+00      2.51e-01    1.27e-01      3.47e-01    3.41e-01    1.0e-03
   2300      7.15e+00    6.09e+00      9.77e-01    1.85e-01      4.53e-01    6.00e-01    1.0e-03
   2400      6.02e+00    1.58e+00      8.30e-01    2.20e-01      3.77e-01    9.69e-02    1.0e-03
   2500      5.26e+00    2.81e+00      6.98e-01    1.33e-01      3.48e-01    2.76e-01    1.0e-03
   2600      5.42e+00    2.05e+00      8.07e-01    3.39e-01      2.93e-01    7.09e-02    1.0e-03
   2700      3.63e+00    6.84e+00      4.34e-02    1.96e-01      3.62e-01    6.75e-01    1.0e-03
   2800      3.55e+00    2.36e+00      3.88e-01    2.21e-01      2.79e-01    2.19e-01    1.0e-03
   2900      3.10e+00    3.47e+00      1.65e-02    2.85e-02      3.10e-01    3.47e-01    1.0e-03
   3000      2.83e+00    7.33e+00      1.97e-01    1.63e-01      2.60e-01    7.27e-01    1.0e-03
   3100      3.11e+00    1.52e+00      1.07e-01    2.69e-01      3.05e-01    6.20e-03    1.0e-03
   3200      2.36e+00    1.52e+00      1.61e-01    8.28e-02      2.18e-01    1.45e-01    1.0e-03
   3300      2.92e+00    2.70e+00      1.37e-02    9.59e-04      2.92e-01    2.70e-01    1.0e-03
   3400      4.53e+00    6.72e-01      5.91e-01    1.52e-02      3.05e-01    6.67e-02    1.0e-03
   3500      2.45e+00    7.10e+00      1.18e-02    6.16e-01      2.45e-01    6.55e-01    1.0e-03
   3600      2.16e+00    1.78e+00      1.39e-01    5.86e-02      2.01e-01    1.75e-01    1.0e-03
   3700      2.63e+00    1.61e+00      5.12e-02    2.29e-02      2.61e-01    1.60e-01    1.0e-03
   3800      2.74e+00    6.39e+00      2.51e-01    5.76e-01      2.34e-01    5.49e-01    1.0e-03
   3900      3.89e+00    2.72e+00      3.02e-01    1.53e-01      3.49e-01    2.58e-01    1.0e-03
   4000      3.21e+00    3.61e+00      2.70e-01    1.61e-01      2.82e-01    3.49e-01    1.0e-03
   4100      3.50e+00    1.58e+00      3.94e-01    1.69e-02      2.70e-01    1.58e-01    1.0e-03
   4200      3.11e+00    2.00e+00      2.42e-01    2.94e-02      2.79e-01    2.00e-01    1.0e-03
   4300      3.12e+00    2.84e+00      2.11e-01    2.58e-01      2.88e-01    2.44e-01    1.0e-03
   4400      1.84e+00    3.37e+00      6.18e-03    2.59e-01      1.83e-01    2.85e-01    1.0e-03
   4500      3.60e+00    1.76e+00      4.77e-01    1.95e-01      2.39e-01    1.63e-01    1.0e-03
   4600      2.81e+00    1.75e+00      1.87e-01    1.72e-01      2.60e-01    1.61e-01    1.0e-03
   4700      3.14e+00    1.10e+00      4.23e-01    1.50e-01      2.03e-01    6.98e-02    1.0e-03
   4800      2.88e+00    2.98e+00      1.06e-01    8.14e-02      2.82e-01    2.96e-01    1.0e-03
   4900      2.76e+00    1.84e+00      2.78e-01    3.65e-01      2.27e-01    1.12e-01    1.0e-03
   5000      5.99e-01    1.42e+00      6.88e-02    1.76e-01      2.08e-01    1.49e-01    3.2e-06
   5100      6.13e-01    1.08e+00      6.89e-02    1.90e-01      2.36e-01    7.28e-02    3.2e-06
   5200      9.54e-01    6.63e-01      1.14e-01    6.44e-02      2.51e-01    1.81e-01    3.2e-06
   5300      1.02e+00    3.74e-01      1.24e-01    3.45e-02      2.12e-01    2.21e-01    3.2e-06
   5400      1.24e+00    2.32e+00      1.52e-01    4.09e-01      2.35e-01    1.92e-01    3.2e-06
   5500      1.26e+00    9.82e-01      1.55e-01    1.14e-01      2.18e-01    3.22e-01    3.2e-06
   5600      1.40e+00    1.66e+00      1.72e-01    2.91e-01      2.51e-01    1.78e-01    3.2e-06
   5700      1.39e+00    7.33e-01      1.71e-01    1.29e-01      2.17e-01    8.53e-02    3.2e-06
   5800      1.49e+00    9.04e-01      1.83e-01    1.09e-01      2.44e-01    2.03e-01    3.2e-06
   5900      9.80e-01    6.86e-01      1.19e-01    1.13e-01      2.06e-01    2.20e-01    3.2e-06
   6000      1.46e+00    2.63e+00      1.79e-01    3.29e-01      2.27e-01    1.15e-01    3.2e-06
   6100      1.48e+00    1.49e+00      1.83e-01    1.87e-01      2.15e-01    3.34e-02    3.2e-06
   6200      1.54e+00    4.27e-01      1.90e-01    6.19e-02      2.28e-01    2.14e-01    3.2e-06
   6300      1.42e+00    3.13e-01      1.75e-01    3.98e-02      2.04e-01    1.90e-01    3.2e-06
   6400      1.45e+00    4.27e+00      1.78e-01    5.34e-01      2.43e-01    1.72e-01    3.2e-06
   6500      1.46e+00    2.40e-01      1.80e-01    1.01e-02      2.47e-01    1.98e-01    3.2e-06
   6600      1.50e+00    6.81e-01      1.85e-01    8.46e-02      2.10e-01    7.16e-02    3.2e-06
   6700      1.04e+00    5.27e-01      1.27e-01    9.24e-02      2.06e-01    6.17e-02    3.2e-06
   6800      1.44e+00    2.88e-01      1.78e-01    3.32e-02      1.94e-01    9.69e-02    3.2e-06
   6900      1.41e+00    3.48e+00      1.74e-01    6.15e-01      2.37e-01    1.62e-01    3.2e-06
   7000      1.49e+00    7.51e-01      1.85e-01    8.52e-02      2.00e-01    2.77e-01    3.2e-06
   7100      1.44e+00    1.24e+00      1.78e-01    1.92e-01      1.93e-01    2.24e-01    3.2e-06
   7200      1.29e+00    5.13e-01      1.57e-01    5.92e-02      2.37e-01    3.40e-01    3.2e-06
   7300      1.36e+00    9.45e-02      1.67e-01    1.64e-02      2.43e-01    1.65e-02    3.2e-06
   7400      1.22e+00    6.07e-01      1.50e-01    6.22e-02      2.08e-01    3.03e-01    3.2e-06
   7500      1.21e+00    1.31e+00      1.48e-01    1.60e-01      2.09e-01    2.60e-01    3.2e-06
   7600      1.34e+00    9.73e-01      1.65e-01    1.66e-01      2.22e-01    2.31e-01    3.2e-06
   7700      9.19e-01    1.02e+00      1.11e-01    1.27e-01      2.05e-01    1.18e-01    3.2e-06
   7800      1.32e+00    5.75e-01      1.62e-01    6.78e-02      2.20e-01    1.67e-01    3.2e-06
   7900      1.40e+00    1.21e+00      1.72e-01    1.50e-01      2.36e-01    1.56e-01    3.2e-06
   8000      1.32e+00    7.57e-01      1.61e-01    1.18e-01      2.40e-01    3.16e-01    3.2e-06
   8100      1.27e+00    3.35e-01      1.56e-01    3.66e-02      2.22e-01    2.30e-01    3.2e-06
   8200      1.25e+00    2.69e-01      1.53e-01    4.62e-02      2.36e-01    5.69e-02    3.2e-06
   8300      1.16e+00    3.21e-01      1.42e-01    4.37e-02      2.06e-01    1.79e-01    3.2e-06
   8400      1.26e+00    6.68e-01      1.55e-01    7.79e-02      2.05e-01    2.10e-01    3.2e-06
   8500      8.05e-01    1.11e+00      9.64e-02    1.35e-01      2.04e-01    2.11e-01    3.2e-06
   8600      1.10e+00    3.39e-01      1.34e-01    4.23e-02      2.20e-01    2.62e-02    3.2e-06
   8700      1.31e+00    7.27e-01      1.61e-01    8.68e-02      1.89e-01    1.88e-01    3.2e-06
   8800      1.21e+00    8.53e-01      1.48e-01    1.40e-01      1.96e-01    2.73e-01    3.2e-06
   8900      1.09e+00    3.63e-01      1.33e-01    6.36e-02      2.32e-01    4.50e-02    3.2e-06
   9000      1.15e+00    1.32e+00      1.40e-01    1.63e-01      2.30e-01    1.57e-01    3.2e-06
   9100      1.20e+00    2.53e-01      1.46e-01    2.22e-02      2.38e-01    1.56e-01    3.2e-06
   9200      1.28e+00    1.36e+00      1.57e-01    2.36e-01      1.95e-01    2.30e-01    3.2e-06
   9300      8.58e-01    2.42e+00      1.03e-01    3.01e-01      2.02e-01    1.74e-01    3.2e-06
   9400      1.38e+00    1.16e+00      1.70e-01    9.33e-02      1.88e-01    7.76e-01    3.2e-06
   9500      1.21e+00    1.02e+00      1.49e-01    1.08e-01      2.02e-01    4.68e-01    3.2e-06
   9600      1.23e+00    3.93e-01      1.51e-01    4.55e-02      2.32e-01    1.29e-01    3.2e-06
