#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.92e+00    2.26e+00      2.44e-01    4.51e-01      1.66e-01    1.36e-01    1.0e-02
    100      1.35e+00    4.73e-01      7.02e-02    1.21e-02      1.32e-01    4.71e-02    1.0e-02
    200      1.41e+00    1.41e+00      1.47e-01    1.29e-01      1.28e-01    1.32e-01    1.0e-02
    300      1.25e+00    1.83e+00      3.32e-02    1.53e-01      1.24e-01    1.72e-01    1.0e-02
    400      1.19e+00    9.93e-01      1.97e-01    2.24e-01      8.90e-02    4.33e-02    1.0e-02
    500      8.99e-01    5.68e-01      2.41e-03    1.12e-02      8.99e-02    5.67e-02    1.0e-02
    600      1.07e+00    3.55e-01      2.76e-02    7.56e-02      1.07e-01    1.87e-02    1.0e-02
    700      4.12e+00    2.60e+00      1.01e+00    6.30e-01      8.85e-02    6.57e-02    1.0e-02
    800      9.00e-01    4.38e-01      9.26e-02    4.17e-02      8.20e-02    4.05e-02    1.0e-02
    900      8.54e-01    2.79e-01      5.94e-02    3.36e-02      8.21e-02    2.44e-02    1.0e-02
   1000      1.03e+00    2.56e-01      1.07e-01    5.58e-02      9.36e-02    1.25e-02    1.0e-02
   1100      9.33e-01    2.93e-01      1.35e-02    7.10e-03      9.32e-02    2.92e-02    1.0e-02
   1200      7.82e-01    1.95e-01      5.46e-02    2.12e-02      7.51e-02    1.76e-02    1.0e-02
   1300      8.15e-01    3.50e-01      1.47e-02    1.61e-02      8.12e-02    3.44e-02    1.0e-02
   1400      6.94e-01    1.87e-01      7.53e-03    2.39e-02      6.93e-02    1.60e-02    1.0e-02
   1500      9.99e-01    5.73e-01      4.31e-02    3.99e-02      9.84e-02    5.51e-02    1.0e-02
   1600      7.14e-01    3.00e-01      1.60e-02    4.42e-02      7.11e-02    2.42e-02    1.0e-02
   1700      7.43e-01    4.31e-01      9.23e-03    1.17e-02      7.42e-02    4.28e-02    1.0e-02
   1800      7.41e-01    2.77e-01      3.25e-02    2.54e-02      7.29e-02    2.58e-02    1.0e-02
   1900      6.97e-01    5.88e-01      9.12e-03    3.47e-02      6.96e-02    5.71e-02    1.0e-02
   2000      6.54e-01    2.03e-01      3.75e-02    3.08e-02      6.37e-02    1.61e-02    1.0e-02
   2100      8.19e-01    4.93e-01      2.08e-02    1.32e-02      8.15e-02    4.91e-02    1.0e-02
   2200      7.61e-01    2.17e-01      4.51e-03    4.12e-03      7.60e-02    2.16e-02    1.0e-02
   2300      7.45e-01    3.04e-01      2.11e-02    2.79e-02      7.40e-02    2.83e-02    1.0e-02
   2400      7.68e-01    2.10e-01      9.01e-02    1.84e-02      6.78e-02    1.97e-02    1.0e-02
   2500      5.77e-01    2.09e-01      2.40e-02    1.74e-02      5.69e-02    1.97e-02    1.0e-02
   2600      9.95e-01    5.82e-01      9.16e-02    7.07e-02      9.25e-02    5.09e-02    1.0e-02
   2700      7.27e-01    2.41e-01      6.02e-03    4.99e-02      7.26e-02    1.35e-02    1.0e-02
   2800      6.58e-01    4.62e-01      7.25e-03    2.57e-02      6.58e-02    4.51e-02    1.0e-02
   2900      8.14e-01    3.32e-01      2.46e-02    3.07e-02      8.08e-02    3.08e-02    1.0e-02
   3000      8.70e-01    6.55e-01      1.10e-01    6.31e-02      7.50e-02    6.05e-02    1.0e-02
   3100      6.23e-01    4.17e-01      3.44e-02    1.74e-02      6.07e-02    4.11e-02    1.0e-02
   3200      7.11e-01    3.82e-01      4.92e-02    4.37e-02      6.83e-02    3.40e-02    1.0e-02
   3300      7.57e-01    3.14e-01      1.88e-02    3.00e-02      7.53e-02    2.90e-02    1.0e-02
   3400      7.22e-01    7.58e-01      8.04e-02    4.98e-02      6.46e-02    7.32e-02    1.0e-02
   3500      6.67e-01    4.33e-01      4.99e-03    5.72e-03      6.66e-02    4.33e-02    1.0e-02
   3600      6.12e-01    4.12e-01      7.44e-03    8.06e-03      6.11e-02    4.10e-02    1.0e-02
   3700      6.54e-01    4.61e-01      2.80e-02    1.66e-02      6.45e-02    4.56e-02    1.0e-02
   3800      6.38e-01    3.17e-01      1.01e-02    1.26e-02      6.37e-02    3.13e-02    1.0e-02
   3900      6.27e-01    1.30e-01      1.77e-03    8.00e-03      6.27e-02    1.26e-02    1.0e-02
   4000      6.69e-01    2.27e-01      2.87e-02    1.90e-02      6.59e-02    2.14e-02    1.0e-02
   4100      7.40e-01    5.30e-01      2.39e-02    1.64e-02      7.33e-02    5.26e-02    1.0e-02
   4200      6.44e-01    5.45e-01      3.73e-03    2.44e-02      6.43e-02    5.36e-02    1.0e-02
   4300      6.06e-01    8.33e-01      1.52e-02    1.26e-01      6.03e-02    6.63e-02    1.0e-02
   4400      8.18e-01    6.40e-01      4.53e-02    3.97e-02      7.97e-02    6.20e-02    1.0e-02
   4500      6.48e-01    4.12e-01      2.33e-02    1.36e-02      6.41e-02    4.08e-02    1.0e-02
   4600      7.21e-01    2.58e-01      1.62e-02    6.21e-03      7.18e-02    2.57e-02    1.0e-02
   4700      7.44e-01    6.97e-01      5.69e-03    4.36e-02      7.43e-02    6.75e-02    1.0e-02
   4800      7.12e-01    2.79e-01      4.47e-02    3.35e-02      6.89e-02    2.45e-02    1.0e-02
